config d896,ff4864,seq256,L24  (median of 1 reps each)
[sweep] op 543/543 (100%) elapsed=0.2m eta=0.0m cur=13.5GB
[sweep] op 1/543 (0%) elapsed=0.0m eta=0.1m cur=13.5GB
[sweep] op 11/543 (2%) elapsed=0.0m eta=0.1m cur=13.5GB
[sweep] op 21/543 (4%) elapsed=0.0m eta=0.1m cur=13.5GB
[sweep] op 31/543 (6%) elapsed=0.0m eta=0.1m cur=13.6GB
[sweep] op 41/543 (8%) elapsed=0.0m eta=0.1m cur=13.7GB
[sweep] op 51/543 (9%) elapsed=0.0m eta=0.1m cur=13.5GB
[sweep] op 61/543 (11%) elapsed=0.0m eta=0.1m cur=13.5GB
[sweep] op 71/543 (13%) elapsed=0.0m eta=0.1m cur=13.5GB
[sweep] op 81/543 (15%) elapsed=0.0m eta=0.1m cur=13.5GB
[sweep] op 91/543 (17%) elapsed=0.0m eta=0.1m cur=13.5GB
[sweep] op 101/543 (19%) elapsed=0.0m eta=0.1m cur=13.5GB
[sweep] op 111/543 (20%) elapsed=0.0m eta=0.1m cur=13.5GB
[sweep] op 121/543 (22%) elapsed=0.0m eta=0.1m cur=13.5GB
[sweep] op 131/543 (24%) elapsed=0.0m eta=0.1m cur=13.5GB
[sweep] op 141/543 (26%) elapsed=0.0m eta=0.1m cur=13.6GB
[sweep] op 151/543 (28%) elapsed=0.0m eta=0.1m cur=13.7GB
[sweep] op 161/543 (30%) elapsed=0.0m eta=0.1m cur=13.5GB
[sweep] op 171/543 (31%) elapsed=0.0m eta=0.0m cur=13.5GB
[sweep] op 181/543 (33%) elapsed=0.0m eta=0.0m cur=13.5GB
[sweep] op 191/543 (35%) elapsed=0.0m eta=0.0m cur=13.5GB
[sweep] op 201/543 (37%) elapsed=0.0m eta=0.0m cur=13.5GB
[sweep] op 211/543 (39%) elapsed=0.0m eta=0.0m cur=13.5GB
[sweep] op 221/543 (41%) elapsed=0.0m eta=0.0m cur=13.5GB
[sweep] op 231/543 (43%) elapsed=0.0m eta=0.0m cur=13.5GB
[sweep] op 241/543 (44%) elapsed=0.0m eta=0.0m cur=13.5GB
[sweep] op 251/543 (46%) elapsed=0.0m eta=0.0m cur=13.6GB
[sweep] op 261/543 (48%) elapsed=0.0m eta=0.0m cur=13.7GB
[sweep] op 271/543 (50%) elapsed=0.0m eta=0.0m cur=13.5GB
[sweep] op 281/543 (52%) elapsed=0.0m eta=0.0m cur=13.5GB
[sweep] op 291/543 (54%) elapsed=0.0m eta=0.0m cur=13.5GB
