layer,submodule,rel_in,rel_out,err_in_per_resid,err_out_per_resid,abs_err_in,abs_err_out
18,mlp.gate_proj,1.556631e-02,1.154922e-02,7.053577e-04,1.504019e-03,1.179271e+00,2.508048e+00
18,mlp.up_proj,1.556631e-02,1.392145e-02,7.053577e-04,1.403199e-03,1.179271e+00,2.329104e+00
18,mlp.down_proj,1.682456e-02,1.706757e-02,4.625589e-04,5.656278e-04,7.492685e-01,9.102360e-01
18,mlp,1.556631e-02,1.706757e-02,7.053577e-04,5.656278e-04,1.179271e+00,9.102360e-01
19,input_layernorm,2.535527e-01,1.382761e-02,2.535527e-01,9.187360e-04,7.171424e+02,1.542058e+00
19,self_attn.q_proj,1.382761e-02,8.133388e-03,9.187360e-04,1.538906e-03,1.542058e+00,2.591989e+00
19,self_attn.k_proj,1.382761e-02,6.962790e-03,9.187360e-04,1.570783e-03,1.542058e+00,2.620959e+00
19,self_attn.v_proj,1.382761e-02,1.339469e-02,9.187360e-04,9.965468e-04,1.542058e+00,1.654974e+00
19,self_attn.o_proj,2.371481e-02,2.447469e-02,3.402896e-04,3.945700e-04,5.988210e-01,6.838831e-01
19,post_attention_layernorm,2.535032e-01,1.481106e-02,2.535515e-01,6.983071e-04,7.171397e+02,1.172947e+00
19,mlp.gate_proj,1.481106e-02,1.154317e-02,6.983071e-04,1.486600e-03,1.172947e+00,2.491238e+00
19,mlp.up_proj,1.481106e-02,1.343370e-02,6.983071e-04,1.401209e-03,1.172947e+00,2.336432e+00
19,mlp.down_proj,1.575960e-02,1.616306e-02,4.767823e-04,5.851908e-04,7.771476e-01,9.497577e-01
19,mlp,1.481106e-02,1.616306e-02,6.983071e-04,5.851908e-04,1.172947e+00,9.497577e-01
20,input_layernorm,2.534319e-01,1.390650e-02,2.534319e-01,9.100192e-04,7.171397e+02,1.539186e+00
20,self_attn.q_proj,1.390650e-02,8.330823e-03,9.100192e-04,1.588468e-03,1.539186e+00,2.687004e+00
20,self_attn.k_proj,1.390650e-02,7.415067e-03,9.100192e-04,1.591265e-03,1.539186e+00,2.710511e+00
20,self_attn.v_proj,1.390650e-02,1.359818e-02,9.100192e-04,9.910971e-04,1.539186e+00,1.639187e+00
20,self_attn.o_proj,2.875907e-02,2.800312e-02,3.743628e-04,4.477928e-04,6.324971e-01,7.492944e-01
20,post_attention_layernorm,2.533589e-01,1.488418e-02,2.534301e-01,7.157041e-04,7.171332e+02,1.203007e+00
20,mlp.gate_proj,1.488418e-02,1.159725e-02,7.157041e-04,1.540890e-03,1.203007e+00,2.572745e+00
20,mlp.up_proj,1.488418e-02,1.337016e-02,7.157041e-04,1.433567e-03,1.203007e+00,2.393116e+00
20,mlp.down_proj,1.720885e-02,1.730713e-02,5.023879e-04,6.150595e-04,8.241936e-01,1.004868e+00
20,mlp,1.488418e-02,1.730713e-02,7.157041e-04,6.150595e-04,1.203007e+00,1.004868e+00
21,input_layernorm,2.532148e-01,1.393641e-02,2.532148e-01,9.552940e-04,7.171341e+02,1.618374e+00
21,self_attn.q_proj,1.393641e-02,8.542525e-03,9.552940e-04,1.575534e-03,1.618374e+00,2.692568e+00
