layer,submodule,rel_in,rel_out,err_in_per_resid,err_out_per_resid,abs_err_in,abs_err_out
0,input_layernorm,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0,self_attn.q_proj,0.000000e+00,1.648071e-07,0.000000e+00,1.023588e-05,0.000000e+00,3.562266e-05
0,self_attn.k_proj,0.000000e+00,1.698389e-07,0.000000e+00,8.391780e-06,0.000000e+00,2.918774e-05
0,self_attn.v_proj,0.000000e+00,1.879605e-07,0.000000e+00,4.870112e-07,0.000000e+00,1.700143e-06
0,self_attn.o_proj,2.812040e-07,4.641440e-07,5.593740e-07,6.736242e-07,1.942284e-06,2.342954e-06
0,post_attention_layernorm,3.829391e-07,4.172517e-07,6.743881e-07,1.833962e-06,2.345345e-06,6.380751e-06
0,mlp.gate_proj,4.172517e-07,5.658963e-07,1.833962e-06,6.587970e-06,6.380751e-06,2.304889e-05
0,mlp.up_proj,4.172517e-07,6.391905e-07,1.833962e-06,5.734376e-06,6.380751e-06,2.007114e-05
0,mlp.down_proj,4.862759e-07,4.270539e-07,6.150961e-07,8.658267e-07,2.128318e-06,2.989840e-06
0,mlp,4.172517e-07,4.270539e-07,1.833962e-06,8.658267e-07,6.380751e-06,2.989840e-06
1,input_layernorm,3.358848e-07,3.397573e-07,3.358848e-07,1.225231e-06,3.577551e-06,1.303618e-05
1,self_attn.q_proj,3.397573e-07,4.444028e-07,1.225231e-06,7.967294e-06,1.303618e-05,8.495960e-05
1,self_attn.k_proj,3.397573e-07,3.988843e-07,1.225231e-06,8.300711e-06,1.303618e-05,8.859413e-05
1,self_attn.v_proj,3.397573e-07,4.359868e-07,1.225231e-06,5.512626e-07,1.303618e-05,5.890292e-06
1,self_attn.o_proj,6.360524e-07,5.350891e-07,3.978202e-07,3.377913e-07,4.240713e-06,3.596587e-06
1,post_attention_layernorm,4.837442e-07,5.530647e-07,4.554857e-07,1.079205e-06,4.845531e-06,1.150229e-05
1,mlp.gate_proj,5.530647e-07,4.786948e-07,1.079205e-06,3.713613e-06,1.150229e-05,3.966401e-05
1,mlp.up_proj,5.530647e-07,5.151076e-07,1.079205e-06,2.762824e-06,1.150229e-05,2.949997e-05
1,mlp.down_proj,1.385754e-07,2.002417e-07,1.090470e-05,3.482095e-05,1.138417e-04,3.710888e-04
1,mlp,5.530647e-07,2.002417e-07,1.079205e-06,3.482095e-05,1.150229e-05,3.710888e-04
2,input_layernorm,2.126878e-07,4.366921e-07,2.126878e-07,1.616886e-08,4.075248e-04,2.419897e-05
2,self_attn.q_proj,4.366921e-07,2.800198e-07,1.616886e-08,5.655317e-08,2.419897e-05,8.547451e-05
2,self_attn.k_proj,4.366921e-07,2.512087e-07,1.616886e-08,5.900570e-08,2.419897e-05,9.003629e-05
2,self_attn.v_proj,4.366921e-07,5.250017e-07,1.616886e-08,1.652226e-08,2.419897e-05,2.484964e-05
2,self_attn.o_proj,9.016489e-07,9.549148e-07,2.898341e-09,3.300505e-09,4.645193e-06,5.436023e-06
2,post_attention_layernorm,2.127254e-07,6.176508e-07,2.127244e-07,1.149974e-08,4.076196e-04,1.752139e-05
2,mlp.gate_proj,6.176508e-07,6.426056e-07,1.149974e-08,2.987951e-08,1.752139e-05,4.641117e-05
2,mlp.up_proj,6.176508e-07,6.645056e-07,1.149974e-08,2.552749e-08,1.752139e-05,3.928469e-05
2,mlp.down_proj,7.112965e-07,7.108045e-07,3.575770e-09,4.575437e-09,5.577667e-06,7.312509e-06
2,mlp,6.176508e-07,7.108045e-07,1.149974e-08,4.575437e-09,1.752139e-05,7.312509e-06
3,input_layernorm,2.156382e-07,5.473309e-07,2.156382e-07,2.797453e-08,4.180284e-04,4.290390e-05
3,self_attn.q_proj,5.473309e-07,3.313677e-07,2.797453e-08,6.832847e-08,4.290390e-05,1.050031e-04
3,self_attn.k_proj,5.473309e-07,2.862641e-07,2.797453e-08,6.955022e-08,4.290390e-05,1.068041e-04
3,self_attn.v_proj,5.473309e-07,6.274600e-07,2.797453e-08,2.769168e-08,4.290390e-05,4.256786e-05
3,self_attn.o_proj,9.361578e-07,8.485734e-07,3.741408e-09,3.824075e-09,5.681337e-06,5.898432e-06
3,post_attention_layernorm,2.185366e-07,7.032270e-07,2.185434e-07,1.609787e-08,4.243541e-04,2.448551e-05
3,mlp.gate_proj,7.032270e-07,6.787401e-07,1.609787e-08,3.985584e-08,2.448551e-05,6.052011e-05
3,mlp.up_proj,7.032270e-07,7.328523e-07,1.609787e-08,3.448833e-08,2.448551e-05,5.252119e-05
3,mlp.down_proj,9.193691e-07,9.313967e-07,5.326211e-09,6.680280e-09,7.983164e-06,1.000042e-05
3,mlp,7.032270e-07,9.313967e-07,1.609787e-08,6.680280e-09,2.448551e-05,1.000042e-05
4,input_layernorm,2.324039e-07,5.828500e-07,2.324039e-07,2.853869e-08,4.422024e-04,4.342691e-05
4,self_attn.q_proj,5.828500e-07,3.395308e-07,2.853869e-08,6.959945e-08,4.342691e-05,1.066951e-04
4,self_attn.k_proj,5.828500e-07,3.017924e-07,2.853869e-08,7.324217e-08,4.342691e-05,1.125567e-04
4,self_attn.v_proj,5.828500e-07,6.918949e-07,2.853869e-08,3.028953e-08,4.342691e-05,4.605024e-05
4,self_attn.o_proj,8.345233e-07,8.207941e-07,5.600212e-09,5.735157e-09,8.205098e-06,8.426729e-06
4,post_attention_layernorm,2.485973e-07,7.011506e-07,2.486009e-07,1.952431e-08,4.626782e-04,2.965111e-05
4,mlp.gate_proj,7.011506e-07,6.206470e-07,1.952431e-08,4.917782e-08,2.965111e-05,7.494360e-05
4,mlp.up_proj,7.011506e-07,7.252081e-07,1.952431e-08,4.164076e-08,2.965111e-05,6.333038e-05
4,mlp.down_proj,6.568322e-07,6.228516e-07,8.156125e-09,1.075865e-08,1.252823e-05,1.680605e-05
4,mlp,7.011506e-07,6.228516e-07,1.952431e-08,1.075865e-08,2.965111e-05,1.680605e-05
