layer,submodule,rel_in,rel_out,err_in_per_resid,err_out_per_resid,abs_err_in,abs_err_out
5,self_attn.v_proj,1.158206e-03,1.213266e-03,5.634222e-05,5.650658e-05,8.486703e-02,8.474188e-02
5,self_attn.o_proj,1.595640e-03,1.706371e-03,1.256912e-05,1.216401e-05,1.888019e-02,1.824996e-02
5,post_attention_layernorm,6.030640e-04,1.361504e-03,6.030882e-04,3.973481e-05,1.434282e+00,5.979819e-02
5,mlp.gate_proj,1.361504e-03,1.074156e-03,3.973481e-05,9.126691e-05,5.979819e-02,1.379091e-01
5,mlp.up_proj,1.361504e-03,1.252624e-03,3.973481e-05,7.693696e-05,5.979819e-02,1.156839e-01
5,mlp.down_proj,1.642647e-03,1.692698e-03,1.552077e-05,1.889321e-05,2.325572e-02,2.830287e-02
5,mlp,1.361504e-03,1.692698e-03,3.973481e-05,1.889321e-05,5.979819e-02,2.830287e-02
6,input_layernorm,5.894164e-04,1.202799e-03,5.894164e-04,7.134781e-05,1.415617e+00,1.082885e-01
6,self_attn.q_proj,1.202799e-03,6.902416e-04,7.134781e-05,1.484467e-04,1.082885e-01,2.258794e-01
6,self_attn.k_proj,1.202799e-03,6.292850e-04,7.134781e-05,1.515107e-04,1.082885e-01,2.304189e-01
6,self_attn.v_proj,1.202799e-03,1.218057e-03,7.134781e-05,6.664422e-05,1.082885e-01,1.012515e-01
6,self_attn.o_proj,1.713481e-03,1.820130e-03,1.476089e-05,1.468911e-05,2.251316e-02,2.216723e-02
6,post_attention_layernorm,5.956813e-04,1.396498e-03,5.956869e-04,4.420917e-05,1.426663e+00,6.720381e-02
6,mlp.gate_proj,1.396498e-03,1.066265e-03,4.420917e-05,1.021637e-04,6.720381e-02,1.557541e-01
6,mlp.up_proj,1.396498e-03,1.288520e-03,4.420917e-05,8.409113e-05,6.720381e-02,1.280537e-01
6,mlp.down_proj,1.720505e-03,1.786403e-03,1.813852e-05,2.189937e-05,2.760614e-02,3.334588e-02
6,mlp,1.396498e-03,1.786403e-03,4.420917e-05,2.189937e-05,6.720381e-02,3.334588e-02
